Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,,,,
2017-18,5,Jubilee," 216,719 "," 221,909 "," 633,416 "," 642,943 "," 850,136 "," 864,852 ",,,,
2017-18,5,Metropolitan," 168,740 "," 171,582 "," 445,155 "," 453,623 "," 613,895 "," 625,206 ",,,,
2017-18,5,Northern," 293,886 "," 298,866 "," 868,799 "," 890,286 "," 1,162,685 "," 1,189,152 ",,,,
2017-18,5,Piccadilly," 230,555 "," 248,295 "," 685,723 "," 741,804 "," 916,278 "," 990,100 ",,,,
2017-18,5,Victoria," 172,282 "," 175,197 "," 416,775 "," 424,912 "," 589,057 "," 600,109 ",,,,
2017-18,5,Waterloo & City," 11,087 "," 11,230 "," 16,873 "," 16,894 "," 27,960 "," 28,124 ",,,,
2017-18,6,Bakerloo," 71,923 "," 75,467 "," 210,968 "," 220,900 "," 282,890 "," 296,367 ",,,,
2017-18,6,C&H," 72,946 "," 76,037 "," 237,307 "," 245,516 "," 310,253 "," 321,553 ",,,,
2017-18,6,Central," 264,605 "," 277,204 "," 715,752 "," 739,392 "," 980,357 "," 1,016,596 ",,,,
2017-18,6,District," 198,368 "," 207,777 "," 563,082 "," 584,667 "," 761,450 "," 792,445 ",,,,
2017-18,6,Jubilee," 215,541 "," 220,483 "," 623,949 "," 642,863 "," 839,490 "," 863,346 ",,,,
2017-18,6,Metropolitan," 167,455 "," 169,769 "," 434,737 "," 441,609 "," 602,192 "," 611,378 ",,,,
2017-18,6,Northern," 290,927 "," 297,562 "," 853,619 "," 879,665 "," 1,144,546 "," 1,177,227 ",,,,
2017-18,6,Piccadilly," 231,710 "," 243,974 "," 698,255 "," 748,849 "," 929,965 "," 992,823 ",,,,
2017-18,6,Victoria," 168,372 "," 173,418 "," 428,521 "," 440,235 "," 596,893 "," 613,653 ",,,,
2017-18,6,Waterloo & City," 10,575 "," 10,934 "," 16,608 "," 16,751 "," 27,183 "," 27,685 ",,,,
2017-18,7,Bakerloo," 70,944 "," 75,746 "," 209,974 "," 220,950 "," 280,918 "," 296,696 ",,,,
2017-18,7,C&H," 72,938 "," 76,047 "," 234,935 "," 243,240 "," 307,873 "," 319,287 ",,,,
2017-18,7,Central," 262,330 "," 279,264 "," 760,114 "," 781,762 "," 1,022,444 "," 1,061,026 ",,,,
2017-18,7,District," 200,559 "," 209,127 "," 554,198 "," 568,806 "," 754,758 "," 777,933 ",,,,
2017-18,7,Jubilee," 219,154 "," 221,893 "," 625,294 "," 641,552 "," 844,449 "," 863,445 ",,,,
2017-18,7,Metropolitan," 166,322 "," 171,685 "," 439,710 "," 448,948 "," 606,032 "," 620,634 ",,,,
2017-18,7,Northern," 294,254 "," 298,653 "," 825,809 "," 836,901 "," 1,120,063 "," 1,135,554 ",,,,
2017-18,7,Piccadilly," 229,427 "," 243,159 "," 676,106 "," 740,422 "," 905,533 "," 983,582 ",,,,
2017-18,7,Victoria," 168,093 "," 175,116 "," 433,429 "," 439,465 "," 601,522 "," 614,581 ",,,,
2017-18,7,Waterloo & City," 10,759 "," 11,230 "," 17,050 "," 17,059 "," 27,809 "," 28,289 ",,,,
2017-18,8,Bakerloo," 71,525 "," 75,743 "," 196,431 "," 202,021 "," 267,956 "," 277,764 ",,,,
2017-18,8,C&H," 72,039 "," 76,065 "," 246,944 "," 258,618 "," 318,983 "," 334,683 ",,,,
2017-18,8,Central," 264,938 "," 277,502 "," 752,248 "," 785,161 "," 1,017,185 "," 1,062,663 ",,,,
2017-18,8,District," 196,941 "," 209,214 "," 579,876 "," 598,060 "," 776,817 "," 807,273 ",,,,
2017-18,8,Jubilee," 218,848 "," 221,692 "," 633,136 "," 642,306 "," 851,984 "," 863,998 ",,,,
2017-18,8,Metropolitan," 164,176 "," 172,532 "," 448,571 "," 458,623 "," 612,748 "," 631,155 ",,,,
2017-18,8,Northern," 289,432 "," 298,866 "," 872,326 "," 890,810 "," 1,161,757 "," 1,189,676 ",,,,
2017-18,8,Piccadilly," 221,076 "," 235,814 "," 687,113 "," 721,037 "," 908,189 "," 956,851 ",,,,
2017-18,8,Victoria," 169,832 "," 175,116 "," 433,722 "," 440,498 "," 603,555 "," 615,613 ",,,,
2017-18,8,Waterloo & City," 10,858 "," 11,221 "," 17,472 "," 17,543 "," 28,330 "," 28,764 ",,,,
2017-18,9,Bakerloo," 71,289 "," 75,742 "," 194,900 "," 202,022 "," 266,189 "," 277,764 ",,,,
