"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2025 to Mar 2026 (Period 03)","Elizabeth line","27693","376","497","685.0","2.47","3.91"
"Apr 2025 to Mar 2026 (Period 04)","Elizabeth line","27968","594","452","749.0","2.68","3.78"
"Apr 2025 to Mar 2026 (Period 05)","Elizabeth line","27972","442","554","775.0","2.77","3.58"
"Apr 2025 to Mar 2026 (Period 06)","Elizabeth line","27827","620","530","840.0","3.02","3.52"
"Apr 2025 to Mar 2026 (Period 07)","Elizabeth line","27769","712","951","1307.0","4.71","3.66"
"Apr 2025 to Mar 2026 (Period 08)","Elizabeth line","27663","634","878","1195.0","4.32","3.87"
"Apr 2025 to Mar 2026 (Period 09)","Elizabeth line","26913","524","611","873.0","3.24","3.56"
"Apr 2025 to Mar 2026 (Period 10)","Elizabeth line","25371","343","542","713.5","2.81","3.60"
"Apr 2025 to Mar 2026 (Period 11)","Elizabeth line","28070","549","945","1219.5","4.34","3.31"
"Apr 2019 to Mar 2020 (Period 01)","Govia Thameslink Railway","97700","1809","2285","3189.5","3.26","[z]"
"Apr 2019 to Mar 2020 (Period 02)","Govia Thameslink Railway","103717","2066","2021","3054.0","2.94","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Govia Thameslink Railway","106541","2325","3073","4235.5","3.98","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Govia Thameslink Railway","107888","2501","3348","4598.5","4.26","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Govia Thameslink Railway","107211","2938","5972","7441.0","6.94","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Govia Thameslink Railway","105847","2160","2942","4022.0","3.80","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Govia Thameslink Railway","106952","3006","4401","5904.0","5.52","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Govia Thameslink Railway","106342","2829","2945","4359.5","4.10","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Govia Thameslink Railway","106692","3010","3119","4624.0","4.33","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Govia Thameslink Railway","93962","2714","3987","5344.0","5.69","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Govia Thameslink Railway","105204","2794","2439","3836.0","3.65","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Govia Thameslink Railway","104798","2978","3231","4720.0","4.50","[z]"
"Apr 2019 to Mar 2020 (Period 13)","Govia Thameslink Railway","105703","2773","4006","5392.5","5.10","4.47"
"Apr 2020 to Mar 2021 (Period 01)","Govia Thameslink Railway","76994","575","711","998.5","1.30","4.37"
"Apr 2020 to Mar 2021 (Period 02)","Govia Thameslink Railway","75908","828","642","1056.0","1.39","4.32"
"Apr 2020 to Mar 2021 (Period 03)","Govia Thameslink Railway","85625","1233","1491","2107.5","2.46","4.22"
"Apr 2020 to Mar 2021 (Period 04)","Govia Thameslink Railway","89783","1542","1924","2695.0","3.00","4.13"
"Apr 2020 to Mar 2021 (Period 05)","Govia Thameslink Railway","90906","2065","3114","4146.5","4.56","3.92"
"Apr 2020 to Mar 2021 (Period 06)","Govia Thameslink Railway","89008","2080","3434","4474.0","5.03","4.01"
"Apr 2020 to Mar 2021 (Period 07)","Govia Thameslink Railway","89853","1952","1972","2948.0","3.28","3.83"
"Apr 2020 to Mar 2021 (Period 08)","Govia Thameslink Railway","90842","2393","2589","3785.5","4.17","3.83"
"Apr 2020 to Mar 2021 (Period 09)","Govia Thameslink Railway","89986","1591","1342","2137.5","2.38","3.67"
"Apr 2020 to Mar 2021 (Period 10)","Govia Thameslink Railway","83340","1828","3436","4350.0","5.22","3.62"
"Apr 2020 to Mar 2021 (Period 11)","Govia Thameslink Railway","88748","1999","2206","3205.5","3.61","3.62"
"Apr 2020 to Mar 2021 (Period 12)","Govia Thameslink Railway","82600","2002","2044","3045.0","3.69","3.54"
"Apr 2020 to Mar 2021 (Period 13)","Govia Thameslink Railway","72785","1141","1532","2102.5","2.89","3.35"
"Apr 2021 to Mar 2022 (Period 01)","Govia Thameslink Railway","90882","1512","1254","2010.0","2.21","3.40"
"Apr 2021 to Mar 2022 (Period 02)","Govia Thameslink Railway","83252","1486","1773","2516.0","3.02","3.51"
"Apr 2021 to Mar 2022 (Period 03)","Govia Thameslink Railway","88113","2229","3437","4551.5","5.17","3.71"
"Apr 2021 to Mar 2022 (Period 04)","Govia Thameslink Railway","89096","2336","6856","8024.0","9.01","4.19"
"Apr 2021 to Mar 2022 (Period 05)","Govia Thameslink Railway","79593","1866","4525","5458.0","6.86","4.35"
"Apr 2021 to Mar 2022 (Period 06)","Govia Thameslink Railway","80767","2153","4571","5647.5","6.99","4.49"
"Apr 2021 to Mar 2022 (Period 07)","Govia Thameslink Railway","83458","2033","3106","4122.5","4.94","4.62"
"Apr 2021 to Mar 2022 (Period 08)","Govia Thameslink Railway","84589","2164","3010","4092.0","4.84","4.67"
"Apr 2021 to Mar 2022 (Period 09)","Govia Thameslink Railway","84949","2028","3728","4742.0","5.58","4.93"
"Apr 2021 to Mar 2022 (Period 10)","Govia Thameslink Railway","70501","1715","4085","4942.5","7.01","5.05"
"Apr 2021 to Mar 2022 (Period 11)","Govia Thameslink Railway","81407","2008","2186","3190.0","3.92","5.08"
"Apr 2021 to Mar 2022 (Period 12)","Govia Thameslink Railway","81039","2651","6307","7632.5","9.42","5.51"
"Apr 2021 to Mar 2022 (Period 13)","Govia Thameslink Railway","73828","1822","3212","4123.0","5.58","5.70"
"Apr 2022 to Mar 2023 (Period 01)","Govia Thameslink Railway","85536","2166","3640","4723.0","5.52","5.98"
"Apr 2022 to Mar 2023 (Period 02)","Govia Thameslink Railway","82991","1927","2370","3333.5","4.02","6.06"
"Apr 2022 to Mar 2023 (Period 03)","Govia Thameslink Railway","77121","1782","3151","4042.0","5.24","6.07"
"Apr 2022 to Mar 2023 (Period 04)","Govia Thameslink Railway","83200","2591","6528","7823.5","9.40","6.09"
"Apr 2022 to Mar 2023 (Period 05)","Govia Thameslink Railway","77416","2469","7307","8541.5","11.03","6.40"
"Apr 2022 to Mar 2023 (Period 06)","Govia Thameslink Railway","85957","2725","3384","4746.5","5.52","6.28"
"Apr 2022 to Mar 2023 (Period 07)","Govia Thameslink Railway","80709","1890","3115","4060.0","5.03","6.29"
"Apr 2022 to Mar 2023 (Period 08)","Govia Thameslink Railway","79662","2470","3721","4956.0","6.22","6.40"
"Apr 2022 to Mar 2023 (Period 09)","Govia Thameslink Railway","86270","2235","3270","4387.5","5.09","6.36"
"Apr 2022 to Mar 2023 (Period 10)","Govia Thameslink Railway","49232","1959","4845","5824.5","11.83","6.58"
"Apr 2022 to Mar 2023 (Period 11)","Govia Thameslink Railway","77973","2457","2122","3350.5","4.30","6.62"
"Apr 2022 to Mar 2023 (Period 12)","Govia Thameslink Railway","84769","2002","2153","3154.0","3.72","6.15"
"Apr 2022 to Mar 2023 (Period 13)","Govia Thameslink Railway","78390","1756","2289","3167.0","4.04","6.03"
"Apr 2023 to Mar 2024 (Period 01)","Govia Thameslink Railway","87196","1466","2489","3222.0","3.70","5.88"
"Apr 2023 to Mar 2024 (Period 02)","Govia Thameslink Railway","73690","1561","1839","2619.5","3.55","5.86"
"Apr 2023 to Mar 2024 (Period 03)","Govia Thameslink Railway","76312","2162","2857","3938.0","5.16","5.86"
"Apr 2023 to Mar 2024 (Period 04)","Govia Thameslink Railway","73307","1737","2499","3367.5","4.59","5.47"
"Apr 2023 to Mar 2024 (Period 05)","Govia Thameslink Railway","72524","1711","1968","2823.5","3.89","4.93"
"Apr 2023 to Mar 2024 (Period 06)","Govia Thameslink Railway","79174","1796","2129","3027.0","3.82","4.79"
"Apr 2023 to Mar 2024 (Period 07)","Govia Thameslink Railway","75265","1747","2358","3231.5","4.29","4.74"
"Apr 2023 to Mar 2024 (Period 08)","Govia Thameslink Railway","86969","2828","3038","4452.0","5.12","4.65"
"Apr 2023 to Mar 2024 (Period 09)","Govia Thameslink Railway","74701","2233","2416","3532.5","4.73","4.62"
"Apr 2023 to Mar 2024 (Period 10)","Govia Thameslink Railway","77546","2373","3954","5140.5","6.63","4.42"
"Apr 2023 to Mar 2024 (Period 11)","Govia Thameslink Railway","78511","1807","1879","2782.5","3.54","4.37"
"Apr 2023 to Mar 2024 (Period 12)","Govia Thameslink Railway","83315","2156","2559","3637.0","4.37","4.42"
"Apr 2023 to Mar 2024 (Period 13)","Govia Thameslink Railway","88569","2142","2521","3592.0","4.06","4.42"
"Apr 2024 to Mar 2025 (Period 01)","Govia Thameslink Railway","77065","2073","2582","3618.5","4.70","4.50"
"Apr 2024 to Mar 2025 (Period 02)","Govia Thameslink Railway","79688","2097","2516","3564.5","4.47","4.57"
"Apr 2024 to Mar 2025 (Period 03)","Govia Thameslink Railway","85867","2642","3513","4834.0","5.63","4.61"
"Apr 2024 to Mar 2025 (Period 04)","Govia Thameslink Railway","86727","2736","3199","4567.0","5.27","4.67"
"Apr 2024 to Mar 2025 (Period 05)","Govia Thameslink Railway","86259","2421","3670","4880.5","5.66","4.80"
"Apr 2024 to Mar 2025 (Period 06)","Govia Thameslink Railway","86143","2483","3358","4599.5","5.34","4.92"
"Apr 2024 to Mar 2025 (Period 07)","Govia Thameslink Railway","86185","2693","4901","6247.5","7.25","5.15"
"Apr 2024 to Mar 2025 (Period 08)","Govia Thameslink Railway","85401","2179","3381","4470.5","5.23","5.15"
"Apr 2024 to Mar 2025 (Period 09)","Govia Thameslink Railway","86206","3004","5034","6536.0","7.58","5.38"
"Apr 2024 to Mar 2025 (Period 10)","Govia Thameslink Railway","75377","1955","4070","5047.5","6.70","5.38"
"Apr 2024 to Mar 2025 (Period 11)","Govia Thameslink Railway","85227","2463","2737","3968.5","4.66","5.45"
"Apr 2024 to Mar 2025 (Period 12)","Govia Thameslink Railway","86579","2794","3132","4529.0","5.23","5.52"
"Apr 2024 to Mar 2025 (Period 13)","Govia Thameslink Railway","91409","1998","3021","4020.0","4.40","5.54"
"Apr 2025 to Mar 2026 (Period 01)","Govia Thameslink Railway","81080","1810","2154","3059.0","3.77","5.47"
"Apr 2025 to Mar 2026 (Period 02)","Govia Thameslink Railway","85643","1943","2166","3137.5","3.66","5.41"
"Apr 2025 to Mar 2026 (Period 03)","Govia Thameslink Railway","85859","2575","3403","4690.5","5.46","5.39"
"Apr 2025 to Mar 2026 (Period 04)","Govia Thameslink Railway","87287","2698","3467","4816.0","5.52","5.41"
"Apr 2025 to Mar 2026 (Period 05)","Govia Thameslink Railway","87374","2727","4899","6262.5","7.17","5.53"
"Apr 2025 to Mar 2026 (Period 06)","Govia Thameslink Railway","86480","2989","4235","5729.5","6.63","5.63"
"Apr 2025 to Mar 2026 (Period 07)","Govia Thameslink Railway","86376","2487","3371","4614.5","5.34","5.48"
"Apr 2025 to Mar 2026 (Period 08)","Govia Thameslink Railway","86888","2435","3283","4500.5","5.18","5.48"
"Apr 2025 to Mar 2026 (Period 09)","Govia Thameslink Railway","87112","2927","4591","6054.5","6.95","5.43"
"Apr 2025 to Mar 2026 (Period 10)","Govia Thameslink Railway","75548","2229","2895","4009.5","5.31","5.34"
"Apr 2025 to Mar 2026 (Period 11)","Govia Thameslink Railway","87040","2332","2840","4006.0","4.60","5.33"
"Apr 2019 to Mar 2020 (Period 01)","Grand Central","470","4","0","2.0","0.43","[z]"
"Apr 2019 to Mar 2020 (Period 02)","Grand Central","496","8","7","11.0","2.22","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Grand Central","490","12","15","21.0","4.29","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Grand Central","484","2","20","21.0","4.34","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Grand Central","482","12","32","38.0","7.88","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Grand Central","448","3","6","7.5","1.67","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Grand Central","496","8","2","6.0","1.21","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Grand Central","473","9","15","19.5","4.12","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Grand Central","473","11","9","14.5","3.07","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Grand Central","408","6","10","13.0","3.19","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Grand Central","420","2","10","11.0","2.62","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Grand Central","441","14","12","19.0","4.31","[z]"
"Apr 2019 to Mar 2020 (Period 13)","Grand Central","415","7","13","16.5","3.98","3.34"
"Apr 2020 to Mar 2021 (Period 01)","Grand Central","24","0","0","0.0","0","3.57"
"Apr 2020 to Mar 2021 (Period 05)","Grand Central","280","5","5","7.5","2.68","3.65"
"Apr 2020 to Mar 2021 (Period 06)","Grand Central","320","1","6","6.5","2.03","3.49"
"Apr 2020 to Mar 2021 (Period 07)","Grand Central","476","4","10","12.0","2.52","3.32"
"Apr 2020 to Mar 2021 (Period 08)","Grand Central","296","3","11","12.5","4.22","2.93"
"Apr 2020 to Mar 2021 (Period 09)","Grand Central","136","3","6","7.5","5.51","3.12"
"Apr 2020 to Mar 2021 (Period 10)","Grand Central","230","3","3","4.5","1.96","3.28"
"Apr 2020 to Mar 2021 (Period 13)","Grand Central","58","1","0","0.5","0.86","3.14"
"Apr 2021 to Mar 2022 (Period 01)","Grand Central","342","3","3","4.5","1.32","2.99"
"Apr 2021 to Mar 2022 (Period 02)","Grand Central","336","2","4","5.0","1.49","2.84"
"Apr 2021 to Mar 2022 (Period 03)","Grand Central","355","2","8","9.0","2.54","2.83"
"Apr 2021 to Mar 2022 (Period 04)","Grand Central","400","7","3","6.5","1.63","2.52"
"Apr 2021 to Mar 2022 (Period 05)","Grand Central","400","6","3","6.0","1.50","2.24"
"Apr 2021 to Mar 2022 (Period 06)","Grand Central","408","4","11","13.0","3.19","2.35"
"Apr 2021 to Mar 2022 (Period 07)","Grand Central","436","7","7","10.5","2.41","2.34"
"Apr 2021 to Mar 2022 (Period 08)","Grand Central","446","6","8","11.0","2.47","2.37"
"Apr 2021 to Mar 2022 (Period 09)","Grand Central","418","13","14","20.5","4.90","2.61"
"Apr 2021 to Mar 2022 (Period 10)","Grand Central","420","13","7","13.5","3.21","2.55"
"Apr 2021 to Mar 2022 (Period 11)","Grand Central","458","7","4","7.5","1.64","2.38"
"Apr 2021 to Mar 2022 (Period 12)","Grand Central","473","19","19","28.5","6.03","2.75"
"Apr 2021 to Mar 2022 (Period 13)","Grand Central","447","5","6","8.5","1.90","2.70"
"Apr 2022 to Mar 2023 (Period 01)","Grand Central","525","1","7","7.5","1.43","2.66"
"Apr 2022 to Mar 2023 (Period 02)","Grand Central","464","5","16","18.5","3.99","2.84"
"Apr 2022 to Mar 2023 (Period 03)","Grand Central","494","4","14","16.0","3.24","2.89"
"Apr 2022 to Mar 2023 (Period 04)","Grand Central","518","4","22","24.0","4.63","3.13"
"Apr 2022 to Mar 2023 (Period 05)","Grand Central","515","12","55","61.0","11.84","3.99"
"Apr 2022 to Mar 2023 (Period 06)","Grand Central","536","8","30","34.0","6.34","4.24"
"Apr 2022 to Mar 2023 (Period 07)","Grand Central","506","6","7","10.0","1.98","4.19"
"Apr 2022 to Mar 2023 (Period 08)","Grand Central","488","12","20","26.0","5.33","4.40"
"Apr 2022 to Mar 2023 (Period 09)","Grand Central","509","12","21","27.0","5.30","4.44"
"Apr 2022 to Mar 2023 (Period 10)","Grand Central","328","13","16","22.5","6.86","4.65"
"Apr 2022 to Mar 2023 (Period 11)","Grand Central","475","8","24","28.0","5.89","4.96"
"Apr 2022 to Mar 2023 (Period 12)","Grand Central","451","3","15","16.5","3.66","4.79"
"Apr 2022 to Mar 2023 (Period 13)","Grand Central","486","14","28","35.0","7.20","5.18"
"Apr 2023 to Mar 2024 (Period 01)","Grand Central","560","10","27","32.0","5.71","5.54"
"Apr 2023 to Mar 2024 (Period 02)","Grand Central","493","13","49","55.5","11.26","6.09"
"Apr 2023 to Mar 2024 (Period 03)","Grand Central","482","11","28","33.5","6.95","6.38"
"Apr 2023 to Mar 2024 (Period 04)","Grand Central","423","7","12","15.5","3.66","6.34"
"Apr 2023 to Mar 2024 (Period 05)","Grand Central","485","15","24","31.5","6.49","5.90"
"Apr 2023 to Mar 2024 (Period 06)","Grand Central","519","12","40","46.0","8.86","6.11"
"Apr 2023 to Mar 2024 (Period 07)","Grand Central","539","7","25","28.5","5.29","6.37"
"Apr 2023 to Mar 2024 (Period 08)","Grand Central","535","8","52","56.0","10.47","6.80"
"Apr 2023 to Mar 2024 (Period 09)","Grand Central","523","8","31","35.0","6.69","6.91"
"Apr 2023 to Mar 2024 (Period 10)","Grand Central","435","18","20","29.0","6.67","6.90"
"Apr 2023 to Mar 2024 (Period 11)","Grand Central","483","7","37","40.5","8.39","7.09"
"Apr 2023 to Mar 2024 (Period 12)","Grand Central","428","9","16","20.5","4.79","7.17"
"Apr 2023 to Mar 2024 (Period 13)","Grand Central","567","9","18","22.5","3.97","6.89"
"Apr 2024 to Mar 2025 (Period 01)","Grand Central","534","3","7","8.5","1.59","6.55"
"Apr 2024 to Mar 2025 (Period 02)","Grand Central","550","19","16","25.5","4.64","6.04"
"Apr 2024 to Mar 2025 (Period 03)","Grand Central","552","6","13","16.0","2.90","5.71"
"Apr 2024 to Mar 2025 (Period 04)","Grand Central","552","16","5","13.0","2.36","5.56"
"Apr 2024 to Mar 2025 (Period 05)","Grand Central","552","17","12","20.5","3.71","5.34"
"Apr 2024 to Mar 2025 (Period 06)","Grand Central","532","11","13","18.5","3.48","4.92"
"Apr 2024 to Mar 2025 (Period 07)","Grand Central","530","22","25","36.0","6.79","5.04"
"Apr 2024 to Mar 2025 (Period 08)","Grand Central","531","16","11","19.0","3.58","4.50"
"Apr 2024 to Mar 2025 (Period 09)","Grand Central","512","7","16","19.5","3.81","4.28"
"Apr 2024 to Mar 2025 (Period 10)","Grand Central","466","15","16","23.5","5.04","4.18"
"Apr 2024 to Mar 2025 (Period 11)","Grand Central","500","16","16","24.0","4.80","3.92"
"Apr 2024 to Mar 2025 (Period 12)","Grand Central","499","11","9","14.5","2.91","3.80"
"Apr 2024 to Mar 2025 (Period 13)","Grand Central","550","13","9","15.5","2.82","3.70"
"Apr 2025 to Mar 2026 (Period 01)","Grand Central","516","10","8","13.0","2.52","3.78"
"Apr 2025 to Mar 2026 (Period 02)","Grand Central","523","6","14","17.0","3.25","3.67"
"Apr 2025 to Mar 2026 (Period 03)","Grand Central","533","7","9","12.5","2.35","3.63"
"Apr 2025 to Mar 2026 (Period 04)","Grand Central","552","10","15","20.0","3.62","3.73"
"Apr 2025 to Mar 2026 (Period 05)","Grand Central","552","22","23","34.0","6.16","3.93"
"Apr 2025 to Mar 2026 (Period 06)","Grand Central","530","5","10","12.5","2.36","3.84"
"Apr 2025 to Mar 2026 (Period 07)","Grand Central","552","7","8","11.5","2.08","3.47"
"Apr 2025 to Mar 2026 (Period 08)","Grand Central","488","11","10","15.5","3.18","3.44"
"Apr 2025 to Mar 2026 (Period 09)","Grand Central","501","10","23","28.0","5.59","3.57"
"Apr 2025 to Mar 2026 (Period 10)","Grand Central","479","3","9","10.5","2.19","3.37"
"Apr 2025 to Mar 2026 (Period 11)","Grand Central","531","9","19","23.5","4.43","3.35"
"Apr 2019 to Mar 2020 (Period 01)","Great Western Railway","40572","398","354","553.0","1.36","[z]"
"Apr 2019 to Mar 2020 (Period 02)","Great Western Railway","41550","374","394","581.0","1.40","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Great Western Railway","42041","464","591","823.0","1.96","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Great Western Railway","41926","665","857","1189.5","2.84","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Great Western Railway","42009","566","873","1156.0","2.75","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Great Western Railway","41899","524","882","1144.0","2.73","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Great Western Railway","41838","466","461","694.0","1.66","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Great Western Railway","41606","593","732","1028.5","2.47","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Great Western Railway","41907","702","868","1219.0","2.91","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Great Western Railway","36928","700","1280","1630.0","4.41","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Great Western Railway","42481","571","510","795.5","1.87","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Great Western Railway","41894","892","1382","1828.0","4.36","[z]"
"Apr 2019 to Mar 2020 (Period 13)","Great Western Railway","40055","511","739","994.5","2.48","2.54"
"Apr 2020 to Mar 2021 (Period 01)","Great Western Railway","26472","76","131","169.0","0.64","2.54"
"Apr 2020 to Mar 2021 (Period 02)","Great Western Railway","26284","140","141","211.0","0.80","2.54"
"Apr 2020 to Mar 2021 (Period 03)","Great Western Railway","29771","205","318","420.5","1.41","2.52"
