line,from_id,to_id
district,940GZZLUSKS,940GZZLUGTR
district,940GZZLUGTR,940GZZLUECT
district,940GZZLUWIM,940GZZLUWIP
district,940GZZLUWIP,940GZZLUSFS
district,940GZZLUSFS,940GZZLUEPY
district,940GZZLUEPY,940GZZLUPYB
district,940GZZLUPYB,940GZZLUPSG
district,940GZZLUPSG,940GZZLUFBY
district,940GZZLUFBY,940GZZLUWBN
district,940GZZLUWBN,940GZZLUECT
hammersmith-city,940GZZLUBKG,940GZZLUEHM
hammersmith-city,940GZZLUEHM,940GZZLUUPK
hammersmith-city,940GZZLUUPK,940GZZLUPLW
hammersmith-city,940GZZLUPLW,940GZZLUWHM
hammersmith-city,940GZZLUWHM,940GZZLUBBB
hammersmith-city,940GZZLUBBB,940GZZLUBWR
hammersmith-city,940GZZLUBWR,940GZZLUMED
hammersmith-city,940GZZLUMED,940GZZLUSGN
hammersmith-city,940GZZLUSGN,940GZZLUWPL
hammersmith-city,940GZZLUWPL,940GZZLUADE
hammersmith-city,940GZZLUADE,940GZZLULVT
hammersmith-city,940GZZLULVT,940GZZLUMGT
hammersmith-city,940GZZLUMGT,940GZZLUBBN
hammersmith-city,940GZZLUBBN,940GZZLUFCN
hammersmith-city,940GZZLUFCN,940GZZLUKSX
hammersmith-city,940GZZLUKSX,940GZZLUESQ
hammersmith-city,940GZZLUESQ,940GZZLUGPS
hammersmith-city,940GZZLUGPS,940GZZLUBST
hammersmith-city,940GZZLUBST,940GZZLUERC
hammersmith-city,940GZZLUERC,940GZZLUPAH
hammersmith-city,940GZZLUPAH,940GZZLURYO
hammersmith-city,940GZZLURYO,940GZZLUWSP
hammersmith-city,940GZZLUWSP,940GZZLULAD
hammersmith-city,940GZZLULAD,940GZZLULRD
hammersmith-city,940GZZLULRD,940GZZLUWLA
hammersmith-city,940GZZLUWLA,940GZZLUSBM
hammersmith-city,940GZZLUSBM,940GZZLUGHK
hammersmith-city,940GZZLUGHK,940GZZLUHSC
hammersmith-city,940GZZLUHSC,940GZZLUGHK
hammersmith-city,940GZZLUGHK,940GZZLUSBM
hammersmith-city,940GZZLUSBM,940GZZLUWLA
hammersmith-city,940GZZLUWLA,940GZZLULRD
hammersmith-city,940GZZLULRD,940GZZLULAD
hammersmith-city,940GZZLULAD,940GZZLUWSP
hammersmith-city,940GZZLUWSP,940GZZLURYO
hammersmith-city,940GZZLURYO,940GZZLUPAH
hammersmith-city,940GZZLUPAH,940GZZLUERC
hammersmith-city,940GZZLUERC,940GZZLUBST
hammersmith-city,940GZZLUBST,940GZZLUGPS
hammersmith-city,940GZZLUGPS,940GZZLUESQ
hammersmith-city,940GZZLUESQ,940GZZLUKSX
hammersmith-city,940GZZLUKSX,940GZZLUFCN
hammersmith-city,940GZZLUFCN,940GZZLUBBN
hammersmith-city,940GZZLUBBN,940GZZLUMGT
hammersmith-city,940GZZLUMGT,940GZZLULVT
hammersmith-city,940GZZLULVT,940GZZLUADE
hammersmith-city,940GZZLUADE,940GZZLUWPL
hammersmith-city,940GZZLUWPL,940GZZLUSGN
hammersmith-city,940GZZLUSGN,940GZZLUMED
hammersmith-city,940GZZLUMED,940GZZLUBWR
hammersmith-city,940GZZLUBWR,940GZZLUBBB
hammersmith-city,940GZZLUBBB,940GZZLUWHM
hammersmith-city,940GZZLUWHM,940GZZLUPLW
hammersmith-city,940GZZLUPLW,940GZZLUUPK
hammersmith-city,940GZZLUUPK,940GZZLUEHM
hammersmith-city,940GZZLUEHM,940GZZLUBKG
jubilee,940GZZLUSTM,940GZZLUCPK
jubilee,940GZZLUCPK,940GZZLUQBY
jubilee,940GZZLUQBY,940GZZLUKBY
jubilee,940GZZLUKBY,940GZZLUWYP
jubilee,940GZZLUWYP,940GZZLUNDN
jubilee,940GZZLUNDN,940GZZLUDOH
jubilee,940GZZLUDOH,940GZZLUWIG
jubilee,940GZZLUWIG,940GZZLUKBN
jubilee,940GZZLUKBN,940GZZLUWHP
jubilee,940GZZLUWHP,940GZZLUFYR
jubilee,940GZZLUFYR,940GZZLUSWC
jubilee,940GZZLUSWC,940GZZLUSJW
jubilee,940GZZLUSJW,940GZZLUBST
jubilee,940GZZLUBST,940GZZLUBND
jubilee,940GZZLUBND,940GZZLUGPK
jubilee,940GZZLUGPK,940GZZLUWSM
jubilee,940GZZLUWSM,940GZZLUWLO
jubilee,940GZZLUWLO,940GZZLUSWK
jubilee,940GZZLUSWK,940GZZLULNB
jubilee,940GZZLULNB,940GZZLUBMY
jubilee,940GZZLUBMY,940GZZLUCWR
jubilee,940GZZLUCWR,940GZZLUCYF
jubilee,940GZZLUCYF,940GZZLUNGW
jubilee,940GZZLUNGW,940GZZLUCGT
jubilee,940GZZLUCGT,940GZZLUWHM
jubilee,940GZZLUWHM,940GZZLUSTD
jubilee,940GZZLUSTD,940GZZLUWHM
jubilee,940GZZLUWHM,940GZZLUCGT
jubilee,940GZZLUCGT,940GZZLUNGW
jubilee,940GZZLUNGW,940GZZLUCYF
jubilee,940GZZLUCYF,940GZZLUCWR
jubilee,940GZZLUCWR,940GZZLUBMY
jubilee,940GZZLUBMY,940GZZLULNB
jubilee,940GZZLULNB,940GZZLUSWK
jubilee,940GZZLUSWK,940GZZLUWLO
jubilee,940GZZLUWLO,940GZZLUWSM
jubilee,940GZZLUWSM,940GZZLUGPK
jubilee,940GZZLUGPK,940GZZLUBND
jubilee,940GZZLUBND,940GZZLUBST
jubilee,940GZZLUBST,940GZZLUSJW
jubilee,940GZZLUSJW,940GZZLUSWC
