line,from_id,to_id,from_name,to_name,from_name_clean,to_name_clean
circle,940GZZLUBBN,940GZZLUMGT,barbican,moorgate,barbican,moorgate
circle,940GZZLUMGT,940GZZLULVT,moorgate,liverpool street,moorgate,liverpool street
circle,940GZZLULVT,940GZZLUALD,liverpool street,aldgate,liverpool street,aldgate
circle,940GZZLUALD,940GZZLUTWH,aldgate,tower hill,aldgate,tower hill
circle,940GZZLUTWH,940GZZLUMMT,tower hill,monument,tower hill,monument
circle,940GZZLUMMT,940GZZLUCST,monument,cannon street,monument,cannon street
circle,940GZZLUCST,940GZZLUMSH,cannon street,mansion house,cannon street,mansion house
circle,940GZZLUMSH,940GZZLUBKF,mansion house,blackfriars,mansion house,blackfriars
circle,940GZZLUBKF,940GZZLUTMP,blackfriars,temple,blackfriars,temple
circle,940GZZLUTMP,940GZZLUEMB,temple,embankment,temple,embankment
circle,940GZZLUEMB,940GZZLUWSM,embankment,westminster,embankment,westminster
circle,940GZZLUWSM,940GZZLUSJP,westminster,st. jamess park,westminster,st. jamess park
circle,940GZZLUSJP,940GZZLUVIC,st. jamess park,victoria,st. jamess park,victoria
circle,940GZZLUVIC,940GZZLUSSQ,victoria,sloane square,victoria,sloane square
circle,940GZZLUSSQ,940GZZLUSKS,sloane square,south kensington,sloane square,south kensington
circle,940GZZLUSKS,940GZZLUGTR,south kensington,gloucester road,south kensington,gloucester road
circle,940GZZLUGTR,940GZZLUHSK,gloucester road,high street kensington,gloucester road,high street kensington
circle,940GZZLUHSK,940GZZLUNHG,high street kensington,notting hill gate,high street kensington,notting hill gate
circle,940GZZLUNHG,940GZZLUBWT,notting hill gate,bayswater,notting hill gate,bayswater
circle,940GZZLUBWT,940GZZLUPAC,bayswater,paddington,bayswater,paddington
circle,940GZZLUPAC,940GZZLUERC,paddington,edgware road (circle line),paddington,edgware road (circle line)
district,940GZZLUEBY,940GZZLUECM,ealing broadway,ealing common,ealing broadway,ealing common
district,940GZZLUECM,940GZZLUACT,ealing common,acton town,ealing common,acton town
district,940GZZLUACT,940GZZLUCWP,acton town,chiswick park,acton town,chiswick park
district,940GZZLUCWP,940GZZLUTNG,chiswick park,turnham green,chiswick park,turnham green
district,940GZZLUTNG,940GZZLUSFB,turnham green,stamford brook,turnham green,stamford brook
district,940GZZLUSFB,940GZZLURVP,stamford brook,ravenscourt park,stamford brook,ravenscourt park
district,940GZZLURVP,940GZZLUHSD,ravenscourt park,hammersmith (distandpicc line),ravenscourt park,hammersmith (distandpicc line)
district,940GZZLUHSD,940GZZLUBSC,hammersmith (distandpicc line),barons court,hammersmith (distandpicc line),barons court
district,940GZZLUBSC,940GZZLUWKN,barons court,west kensington,barons court,west kensington
district,940GZZLUWKN,940GZZLUECT,west kensington,earls court,west kensington,earls court
district,940GZZLUECT,940GZZLUGTR,earls court,gloucester road,earls court,gloucester road
district,940GZZLUGTR,940GZZLUSKS,gloucester road,south kensington,gloucester road,south kensington
district,940GZZLUSKS,940GZZLUSSQ,south kensington,sloane square,south kensington,sloane square
district,940GZZLUSSQ,940GZZLUVIC,sloane square,victoria,sloane square,victoria
district,940GZZLUVIC,940GZZLUSJP,victoria,st. jamess park,victoria,st. jamess park
district,940GZZLUSJP,940GZZLUWSM,st. jamess park,westminster,st. jamess park,westminster
district,940GZZLUWSM,940GZZLUEMB,westminster,embankment,westminster,embankment
district,940GZZLUEMB,940GZZLUTMP,embankment,temple,embankment,temple
district,940GZZLUTMP,940GZZLUBKF,temple,blackfriars,temple,blackfriars
district,940GZZLUBKF,940GZZLUMSH,blackfriars,mansion house,blackfriars,mansion house
district,940GZZLUMSH,940GZZLUCST,mansion house,cannon street,mansion house,cannon street
district,940GZZLUCST,940GZZLUMMT,cannon street,monument,cannon street,monument
district,940GZZLUMMT,940GZZLUTWH,monument,tower hill,monument,tower hill
district,940GZZLUTWH,940GZZLUADE,tower hill,aldgate east,tower hill,aldgate east
district,940GZZLUADE,940GZZLUWPL,aldgate east,whitechapel,aldgate east,whitechapel
district,940GZZLUWPL,940GZZLUSGN,whitechapel,stepney green,whitechapel,stepney green
district,940GZZLUSGN,940GZZLUMED,stepney green,mile end,stepney green,mile end
district,940GZZLUMED,940GZZLUBWR,mile end,bow road,mile end,bow road
district,940GZZLUBWR,940GZZLUBBB,bow road,bromley-by-bow,bow road,bromley-by-bow
district,940GZZLUBBB,940GZZLUWHM,bromley-by-bow,west ham,bromley-by-bow,west ham
district,940GZZLUWHM,940GZZLUPLW,west ham,plaistow,west ham,plaistow
district,940GZZLUPLW,940GZZLUUPK,plaistow,upton park,plaistow,upton park
district,940GZZLUUPK,940GZZLUEHM,upton park,east ham,upton park,east ham
district,940GZZLUEHM,940GZZLUBKG,east ham,barking,east ham,barking
district,940GZZLUBKG,940GZZLUUPY,barking,upney,barking,upney
district,940GZZLUUPY,940GZZLUBEC,upney,becontree,upney,becontree
district,940GZZLUBEC,940GZZLUDGY,becontree,dagenham heathway,becontree,dagenham heathway
district,940GZZLUDGY,940GZZLUDGE,dagenham heathway,dagenham east,dagenham heathway,dagenham east
district,940GZZLUDGE,940GZZLUEPK,dagenham east,elm park,dagenham east,elm park
district,940GZZLUEPK,940GZZLUHCH,elm park,hornchurch,elm park,hornchurch
district,940GZZLUHCH,940GZZLUUPB,hornchurch,upminster bridge,hornchurch,upminster bridge
district,940GZZLUUPB,940GZZLUUPM,upminster bridge,upminster,upminster bridge,upminster
district,940GZZLUECT,940GZZLUHSK,earls court,high street kensington,earls court,high street kensington
district,940GZZLUHSK,940GZZLUNHG,high street kensington,notting hill gate,high street kensington,notting hill gate
district,940GZZLUNHG,940GZZLUBWT,notting hill gate,bayswater,notting hill gate,bayswater
district,940GZZLUBWT,940GZZLUPAC,bayswater,paddington,bayswater,paddington
district,940GZZLUPAC,940GZZLUERC,paddington,edgware road (circle line),paddington,edgware road (circle line)
district,940GZZLUERC,940GZZLUPAC,edgware road (circle line),paddington,edgware road (circle line),paddington
district,940GZZLUPAC,940GZZLUBWT,paddington,bayswater,paddington,bayswater
district,940GZZLUBWT,940GZZLUNHG,bayswater,notting hill gate,bayswater,notting hill gate
district,940GZZLUNHG,940GZZLUHSK,notting hill gate,high street kensington,notting hill gate,high street kensington
district,940GZZLUHSK,940GZZLUECT,high street kensington,earls court,high street kensington,earls court
district,940GZZLUECT,940GZZLUKOY,earls court,kensington (olympia),earls court,kensington (olympia)
district,940GZZLUECT,940GZZLUWBN,earls court,west brompton,earls court,west brompton
district,940GZZLUWBN,940GZZLUFBY,west brompton,fulham broadway,west brompton,fulham broadway
district,940GZZLUFBY,940GZZLUPSG,fulham broadway,parsons green,fulham broadway,parsons green
district,940GZZLUPSG,940GZZLUPYB,parsons green,putney bridge,parsons green,putney bridge
district,940GZZLUPYB,940GZZLUEPY,putney bridge,east putney,putney bridge,east putney
district,940GZZLUEPY,940GZZLUSFS,east putney,southfields,east putney,southfields
district,940GZZLUSFS,940GZZLUWIP,southfields,wimbledon park,southfields,wimbledon park
district,940GZZLUWIP,940GZZLUWIM,wimbledon park,wimbledon,wimbledon park,wimbledon
district,940GZZLUECT,940GZZLUWKN,earls court,west kensington,earls court,west kensington
district,940GZZLUWKN,940GZZLUBSC,west kensington,barons court,west kensington,barons court
district,940GZZLUBSC,940GZZLUHSD,barons court,hammersmith (distandpicc line),barons court,hammersmith (distandpicc line)
district,940GZZLUHSD,940GZZLURVP,hammersmith (distandpicc line),ravenscourt park,hammersmith (distandpicc line),ravenscourt park
district,940GZZLURVP,940GZZLUSFB,ravenscourt park,stamford brook,ravenscourt park,stamford brook
district,940GZZLUSFB,940GZZLUTNG,stamford brook,turnham green,stamford brook,turnham green
district,940GZZLUTNG,940GZZLUCWP,turnham green,chiswick park,turnham green,chiswick park
district,940GZZLUCWP,940GZZLUACT,chiswick park,acton town,chiswick park,acton town
district,940GZZLUACT,940GZZLUECM,acton town,ealing common,acton town,ealing common
district,940GZZLUECM,940GZZLUEBY,ealing common,ealing broadway,ealing common,ealing broadway
district,940GZZLUTNG,940GZZLUGBY,turnham green,gunnersbury,turnham green,gunnersbury
district,940GZZLUGBY,940GZZLUKWG,gunnersbury,kew gardens,gunnersbury,kew gardens
