station_id,station_name,lat,lon,zone
9400ZZLUWHP,West Hampstead Underground Station,51.546638,-0.191059,
9400ZZLUWHP1,West Hampstead Underground Station,51.5468,-0.190475,
9400ZZLUWHP2,West Hampstead Underground Station,51.546746,-0.190434,
9400ZZLUWHW,West Harrow Underground Station,51.57971,-0.3534,
9400ZZLUWHW1,West Harrow Underground Station,51.579811,-0.353497,
9400ZZLUWHW2,West Harrow Underground Station,51.579767,-0.353585,
9400ZZLUWIG,Willesden Green Underground Station,51.549146,-0.221537,
9400ZZLUWIG1,Willesden Green Underground Station,51.549348,-0.221846,
9400ZZLUWIG2,Willesden Green Station,51.549348,-0.221846,
9400ZZLUWIG3,Willesden Green Station,51.549369,-0.222004,
9400ZZLUWIM,Wimbledon Underground Station,51.421207,-0.206573,
9400ZZLUWIM1,Wimbledon Underground Station,51.421342,-0.206625,
9400ZZLUWIP,Wimbledon Park Underground Station,51.434573,-0.199719,
9400ZZLUWIP1,Wimbledon Park Underground Station,51.434323,-0.199311,
9400ZZLUWIP2,Wimbledon Park,51.434307,-0.199384,
9400ZZLUWJN,Willesden Junction Underground Station,51.532259,-0.244283,
9400ZZLUWJN1,Willesden Junction Underground Station,51.532496,-0.24449,
9400ZZLUWJN2,Willesden Junction Underground Station,51.532398,-0.244537,
9400ZZLUWJN3,Willesden Junction Underground Station,51.532325,-0.244468,
9400ZZLUWKA,Warwick Avenue Underground Station,51.523263,-0.183783,
9400ZZLUWKA1,Warwick Avenue Underground Station,51.522973,-0.183103,
9400ZZLUWKA2,Warwick Avenue,51.522964,-0.183103,
9400ZZLUWKN,West Kensington Underground Station,51.490459,-0.206636,
9400ZZLUWKN1,West Kensington Underground Station,51.49083,-0.20619,
9400ZZLUWKN2,West Kensington Underground Station,51.490846,-0.206088,
9400ZZLUWLA,Wood Lane Underground Station,51.509669,-0.22453,
9400ZZLUWLA1,Wood Lane Underground Station,51.509658,-0.224401,
9400ZZLUWLA2,Wood Lane Underground Station,51.509639,-0.224329,
9400ZZLUWLO,Waterloo Underground Station,51.503299,-0.11478,
9400ZZLUWLO1,Waterloo Underground Station,51.503097,-0.11512,
9400ZZLUWLO2,Waterloo Underground Station,51.503052,-0.115093,
9400ZZLUWLO3,Waterloo Underground Station,51.503189,-0.113574,
9400ZZLUWLO4,Waterloo Underground Station,51.503333,-0.113021,
9400ZZLUWLO5,Waterloo Underground Station,51.502683,-0.112875,
9400ZZLUWLO6,Waterloo Underground Station,51.502738,-0.11293,
9400ZZLUWLO7,Waterloo Station,51.50286,-0.113819,
9400ZZLUWLO8,Waterloo Station,51.503333,-0.113021,
9400ZZLUWOF,Woodford Underground Station,51.606899,0.03397,
9400ZZLUWOF1,Woodford Underground Station,51.607181,0.033781,
9400ZZLUWOF2,Woodford Underground Station,51.607128,0.03375,
9400ZZLUWOG,Wood Green Underground Station,51.597479,-0.109886,
9400ZZLUWOG1,Wood Green Underground Station,51.597437,-0.11009,
9400ZZLUWOG2,Wood Green Station,51.597533,-0.109913,
9400ZZLUWOP,Woodside Park Underground Station,51.618014,-0.18542,
9400ZZLUWOP1,Woodside Park Underground Station,51.617783,-0.185602,
