station_removed,station_display,propagation_risk_score,failure_impact_score,betweenness_centrality,degree_centrality
canning town,Canning Town,0.05535333774167142,0.0522683767811781,0.0044931893763382,0.007380073800738
monument,Monument,0.055035168174699646,0.0522704996249562,0.0042672315612044,0.007380073800738
lambeth north,Lambeth North,0.05490877027133974,0.0532300250126656,0.003973623069564,0.007380073800738
holloway road,Holloway Road,0.054315688859579374,0.0525868033478958,0.003690036900369,0.007380073800738
grange hill,Grange Hill,0.05403866577774348,0.0481925167271913,0.0044280442804428,0.007380073800738
st. johns wood,St. Johns Wood,0.05381377187992961,0.0534847662660397,0.003143364766981,0.007380073800738
west hampstead,West Hampstead,0.05374355332178294,0.0530793031044192,0.0031798095758735,0.007380073800738
fairlop,Fairlop,0.05361480166219092,0.0480651461005043,0.0041547082137488,0.007380073800738
cannon street,Cannon Street,0.05336419487994486,0.0519711786522415,0.0031465536877591,0.007380073800738
stepney green,Stepney Green,0.05324732508967886,0.0521622345922722,0.0030230968976356,0.007380073800738
ravenscourt park,Ravenscourt Park,0.05289096901251218,0.051565715490621,0.0028973623069564,0.007380073800738
edgware road (bakerloo),Edgware Road (Bakerloo),0.051968369505907504,0.0535038718600428,0.0018313516468498,0.007380073800738
borough,Borough,0.05164883394639157,0.0526101546294551,0.0017949068379572,0.007380073800738
covent garden,Covent Garden,0.050726641654151264,0.053130251355094,0.0010307047514919,0.007380073800738
goodge street,Goodge Street,0.05015774725172807,0.0532661133568935,0.0005986059860598,0.007380073800738
swiss cottage,Swiss Cottage,0.05000914747337471,0.0530793031044192,0.0005330053300533,0.007380073800738
neasden,Neasden,0.04979949241865271,0.0526589800363518,0.0004737825156029,0.007380073800738
stamford brook,Stamford Brook,0.04978352708883383,0.0512345518612346,0.0007653409867432,0.007380073800738
arsenal,Arsenal,0.04974184620970608,0.052124023404266,0.000546672133388,0.007380073800738
bromley-by-bow,Bromley-By-Bow,0.04946630019494985,0.0515911896159584,0.0004646713133798,0.007380073800738
mornington crescent,Mornington Crescent,0.04923547125812227,0.0530071264159631,0.0,0.007380073800738
dollis hill,Dollis Hill,0.049148576483590126,0.0525889261916738,2.7333606669400023e-05,0.007380073800738
kilburn,Kilburn,0.049148576483590126,0.0525889261916738,2.7333606669400023e-05,0.007380073800738
west kensington,West Kensington,0.04905205755569287,0.0523957474078651,0.0,0.007380073800738
hainault,Hainault,0.04878391607807805,0.0475811377190933,0.0008336750034167,0.007380073800738
chiswick park,Chiswick Park,0.048736178401508914,0.0513428168939186,0.0,0.007380073800738
heathrow terminal 4,Heathrow Terminal 4,0.047290521788610554,0.0465239615175907,0.0,0.007380073800738
kensington (olympia),Kensington (Olympia),0.01569516065642241,0.0523172021880747,0.0,0.003690036900369
brixton,Brixton,0.01567032338421846,0.0522344112807282,0.0,0.003690036900369
battersea power,Battersea Power,0.01564612296514794,0.0521537432171598,0.0,0.003690036900369
stanmore,Stanmore,0.01528821150415722,0.0509607050138574,0.0,0.003690036900369
walthamstow central,Walthamstow Central,0.015109892626795289,0.0503663087559843,0.0,0.003690036900369
richmond,Richmond,0.015029012278848989,0.0500967075961633,0.0,0.003690036900369
mill hill east,Mill Hill East,0.014768539347273929,0.0492284644909131,0.0,0.003690036900369
hammersmith (handc line),Hammersmith (Handc Line),0.014639895014319958,0.0487996500477332,0.0,0.003690036900369
wimbledon,Wimbledon,0.01452717200970186,0.0484239066990062,0.0,0.003690036900369
watford,Watford,0.0144825922903614,0.048275307634538,0.0,0.003690036900369
cockfosters,Cockfosters,0.014450112780556199,0.048167042601854,0.0,0.003690036900369
edgware,Edgware,0.014413175298816928,0.0480439176627231,0.0,0.003690036900369
uxbridge,Uxbridge,0.01439534341108077,0.0479844780369359,0.0,0.003690036900369
morden,Morden,0.01434057404160528,0.0478019134720176,0.0,0.003690036900369
high barnet,High Barnet,0.01426033054679244,0.0475344351559748,0.0,0.003690036900369
west ruislip,West Ruislip,0.01414951810157469,0.0471650603385823,0.0,0.003690036900369
amersham,Amersham,0.01414888124844123,0.0471629374948041,0.0,0.003690036900369
chesham,Chesham,0.01414888124844123,0.0471629374948041,0.0,0.003690036900369
epping,Epping,0.01402087376862072,0.0467362458954024,0.0,0.003690036900369
harrow and wealdstone,Harrow And Wealdstone,0.01392343523920512,0.0464114507973504,0.0,0.003690036900369
heathrow terminal 5,Heathrow Terminal 5,0.01378587496238307,0.0459529165412769,0.0,0.003690036900369
upminster,Upminster,0.01351075440873894,0.0450358480291298,0.0,0.003690036900369
