station_id,station_name,lat,lon,zone,station_name_clean
4900ZZLURYL1,rayners lane,51.57495,-0.37076,,rayners lane
4900ZZLURYO1,royal oak,51.51911,-0.18878,,royal oak
4900ZZLUSBC1,shepherds bush,51.50462,-0.21814,,shepherds bush
4900ZZLUSBM1,shepherds bush market,51.5057,-0.22627,,shepherds bush market
4900ZZLUSEA1,south ealing,51.50138,-0.30685,,south ealing
4900ZZLUSFB1,stamford brook,51.49499,-0.24678,,stamford brook
4900ZZLUSFS1,southfields,51.44486,-0.20654,,southfields
4900ZZLUSGN1,stepney green,51.5218,-0.04661,,stepney green
4900ZZLUSGT1,southgate,51.63232,-0.12806,,southgate
4900ZZLUSHH1,south harrow,51.56491,-0.35259,,south harrow
4900ZZLUSJP1,st jamess park,51.49962,-0.13313,,st jamess park
4900ZZLUSJW1,st johns wood,51.53454,-0.17415,,st johns wood
4900ZZLUSKS1,south kensington,51.49384,-0.17304,,south kensington
4900ZZLUSKW1,stockwell,51.47225,-0.12266,,stockwell
4900ZZLUSNB1,snaresbrook,51.58103,0.02143,,snaresbrook
4900ZZLUSPU1,st pauls,51.51512,-0.09713,,st pauls
4900ZZLUSSQ1,sloane square,51.49249,-0.15663,,sloane square
4900ZZLUSTM1,stanmore,51.61973,-0.30317,,stanmore
4900ZZLUSUH1,sudbury hill,51.55623,-0.33626,,sudbury hill
4900ZZLUSUT1,sudbury town,51.55037,-0.31592,,sudbury town
4900ZZLUSWC1,swiss cottage,51.5436,-0.17511,,swiss cottage
4900ZZLUSWF1,south woodford,51.59193,0.02769,,south woodford
4900ZZLUSWK1,southwark,51.50375,-0.10469,,southwark
4900ZZLUSWN1,south wimbledon,51.41527,-0.19251,,south wimbledon
4900ZZLUTAW1,totteridge and whetstone,51.63018,-0.17928,,totteridge and whetstone
4900ZZLUTBC1,tooting bec,51.43549,-0.15946,,tooting bec
4900ZZLUTBY1,tooting broadway,51.42793,-0.16809,,tooting broadway
4900ZZLUTCR3,tottenham court road,51.51625,-0.13062,,tottenham court road
4900ZZLUTFP1,tufnell park,51.55672,-0.13816,,tufnell park
4900ZZLUTMP1,temple,51.51101,-0.11397,,temple
4900ZZLUTNG1,turnham green,51.49538,-0.25521,,turnham green
4900ZZLUTPN1,turnpike lane,51.59048,-0.1029,,turnpike lane
4900ZZLUTWH1,tower hill,51.5102,-0.07681,,tower hill
4900ZZLUUPB1,upminster bridge,51.55901,0.23587,,upminster bridge
4900ZZLUUPK1,upton park,51.53548,0.03521,,upton park
4900ZZLUUPY1,upney,51.53849,0.10156,,upney
4900ZZLUUXB1,uxbridge,51.54605,-0.47922,,uxbridge
4900ZZLUVIC6,victoria,51.49555,-0.14197,,victoria
4900ZZLUVXL1,vauxhall,51.48631,-0.12458,,vauxhall
4900ZZLUWCY1,white city,51.51196,-0.22474,,white city
4900ZZLUWFN1,west finchley,51.60958,-0.18863,,west finchley
4900ZZLUWHP1,west hampstead,51.54677,-0.19102,,west hampstead
4900ZZLUWHW1,west harrow,51.58015,-0.35312,,west harrow
4900ZZLUWIG1,willesden green,51.54924,-0.22094,,willesden green
4900ZZLUWIP1,wimbledon park,51.43462,-0.19962,,wimbledon park
4900ZZLUWKA1,warwick avenue,51.52336,-0.18366,,warwick avenue
4900ZZLUWKN1,west kensington,51.4907,-0.20686,,west kensington
4900ZZLUWLA1,wood lane,51.50967,-0.2245,,wood lane
4900ZZLUWOF1,woodford,51.60744,0.03359,,woodford
4900ZZLUWOG1,wood green,51.5973,-0.10997,,wood green
4900ZZLUWOP1,woodside park,51.61795,-0.18516,,woodside park
