station_removed,num_components,largest_component_size,avg_shortest_path,components_norm,largest_component_loss,largest_component_loss_norm,avg_shortest_path_norm,failure_impact_score,station_display
hornchurch,2,269,13.748016423458914,0.5,2,0.09090909090909091,0.11465512978087951,0.26166926620699116,Hornchurch
goldhawk road,2,270,13.911138647941621,0.5,1,0.045454545454545456,0.15688434154745276,0.26070166610059947,Goldhawk Road
wimbledon park,2,270,13.901390609940796,0.5,1,0.045454545454545456,0.15436076168363652,0.2599445921414546,Wimbledon Park
croxley,2,270,13.897535453669283,0.5,1,0.045454545454545456,0.153362735748794,0.25964518436100187,Croxley
oakwood,2,270,13.89472669695718,0.5,1,0.045454545454545456,0.15263560256769432,0.25942704440667197,Oakwood
burnt oak,2,270,13.891532424617926,0.5,1,0.045454545454545456,0.1518086667931104,0.25917896367429677,Burnt Oak
hillingdon,2,270,13.889990362109321,0.5,1,0.045454545454545456,0.15140945641917336,0.2590592005621157,Hillingdon
south wimbledon,2,270,13.885254027261462,0.5,1,0.045454545454545456,0.15018331027065243,0.2586913567175594,South Wimbledon
totteridge and whetstone,2,270,13.87831474597274,0.5,1,0.045454545454545456,0.14838686358793587,0.2581524227127444,Totteridge And Whetstone
ruislip gardens,2,270,13.868731928954977,0.5,1,0.045454545454545456,0.14590605626418407,0.25740818051561887,Ruislip Gardens
theydon bois,2,270,13.85760704942861,0.5,1,0.045454545454545456,0.14302603856649526,0.25654417520631223,Theydon Bois
kenton,2,270,13.849180779292304,0.5,1,0.045454545454545456,0.14084463902319666,0.25588975534332264,Kenton
heathrow terminals 2 and 3,2,270,13.837284868511635,0.5,1,0.045454545454545456,0.13776501613853934,0.25496586847792546,Heathrow Terminals 2 And 3
upminster bridge,2,270,13.813493046950295,0.5,1,0.045454545454545456,0.13160577036922466,0.25311809474713104,Upminster Bridge
finchley road,1,271,16.40489271559382,0.0,0,0.0,0.8024693864461137,0.2407408159338341,Finchley Road
preston road,1,271,15.416618832854995,0.0,0,0.0,0.546624254307325,0.16398727629219748,Preston Road
northwick park,1,271,15.34492278256116,0.0,0,0.0,0.5280635235406461,0.15841905706219384,Northwick Park
liverpool street,1,271,14.966406997403308,0.0,0,0.0,0.43007305474271623,0.12902191642281485,Liverpool Street
mile end,1,271,14.792401257345906,0.0,0,0.0,0.38502630977105073,0.11550789293131522,Mile End
barons court,1,271,14.629984966516332,0.0,0,0.0,0.3429798506724592,0.10289395520173775,Barons Court
hammersmith (distandpicc line),1,271,14.58537652043187,0.0,0,0.0,0.33143158051949656,0.09942947415584896,Hammersmith (Distandpicc Line)
notting hill gate,1,271,14.56487631542982,0.0,0,0.0,0.3261244710742016,0.09783734132226048,Notting Hill Gate
waterloo,1,271,14.54082274156075,0.0,0,0.0,0.3198974626583887,0.0959692387975166,Waterloo
west harrow,1,271,14.509935766024327,0.0,0,0.0,0.31190141776081065,0.0935704253282432,West Harrow
bank,1,271,14.496077627442942,0.0,0,0.0,0.3083138117757912,0.09249414353273736,Bank
snaresbrook,1,271,14.44553778871122,0.0,0,0.0,0.29523001795665677,0.08856900538699702,Snaresbrook
bethnal green,1,271,14.433374333743338,0.0,0,0.0,0.292081133019115,0.0876243399057345,Bethnal Green
green park,1,271,14.429684296842968,0.0,0,0.0,0.2911258533189617,0.0873377559956885,Green Park
westminster,1,271,14.378297116304497,0.0,0,0.0,0.2778226989760887,0.08334680969282661,Westminster
