Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date,Line,Line_clean
2017-18,5,Line Operations - Victoria Line,Excess Journey Time - Trains,1.2,1.07,Victoria,victoria
2017-18,5,London Underground Network,Excess Journey Time - Total,4.11,4.26,London Underground Network,london underground network
2017-18,6,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.56,1.66,Bakerloo,bakerloo
2017-18,6,Line Operations - Central Line,Excess Journey Time - Trains,2.48,2.55,Central,central
2017-18,6,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.48,3.22,Circle and Hammersmith,circle and hammersmith
2017-18,6,Line Operations - District Line,Excess Journey Time - Trains,2.9,3.29,District,district
2017-18,6,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.94,1.17,Jubilee,jubilee
2017-18,6,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.45,1.73,Metropolitan,metropolitan
2017-18,6,Line Operations - Northern Line,Excess Journey Time - Trains,1.39,1.19,Northern,northern
2017-18,6,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.04,3.12,Piccadilly,piccadilly
2017-18,6,Line Operations - Victoria Line,Excess Journey Time - Trains,1.08,1.07,Victoria,victoria
2017-18,6,London Underground Network,Excess Journey Time - Total,4.02,4.22,London Underground Network,london underground network
2017-18,7,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.34,1.76,Bakerloo,bakerloo
2017-18,7,Line Operations - Central Line,Excess Journey Time - Trains,3.04,2.62,Central,central
2017-18,7,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.64,3.28,Circle and Hammersmith,circle and hammersmith
2017-18,7,Line Operations - District Line,Excess Journey Time - Trains,3.83,3.36,District,district
2017-18,7,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.32,1.19,Jubilee,jubilee
2017-18,7,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.17,1.94,Metropolitan,metropolitan
2017-18,7,Line Operations - Northern Line,Excess Journey Time - Trains,1.53,1.24,Northern,northern
2017-18,7,Line Operations - Piccadilly Line,Excess Journey Time - Trains,4.77,3.36,Piccadilly,piccadilly
2017-18,7,Line Operations - Victoria Line,Excess Journey Time - Trains,1.6,1.15,Victoria,victoria
2017-18,7,London Underground Network,Excess Journey Time - Total,5.08,4.34,London Underground Network,london underground network
2017-18,8,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.27,1.82,Bakerloo,bakerloo
2017-18,8,Line Operations - Central Line,Excess Journey Time - Trains,3.05,2.68,Central,central
2017-18,8,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.05,3.37,Circle and Hammersmith,circle and hammersmith
2017-18,8,Line Operations - District Line,Excess Journey Time - Trains,3.97,3.44,District,district
2017-18,8,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.28,1.2,Jubilee,jubilee
2017-18,8,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.36,2.12,Metropolitan,metropolitan
2017-18,8,Line Operations - Northern Line,Excess Journey Time - Trains,2.02,1.34,Northern,northern
2017-18,8,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.92,3.43,Piccadilly,piccadilly
2017-18,8,Line Operations - Victoria Line,Excess Journey Time - Trains,1.38,1.18,Victoria,victoria
2017-18,8,London Underground Network,Excess Journey Time - Total,5.07,4.43,London Underground Network,london underground network
2017-18,9,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.42,1.89,Bakerloo,bakerloo
2017-18,9,Line Operations - Central Line,Excess Journey Time - Trains,4.4,2.87,Central,central
2017-18,9,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.63,3.51,Circle and Hammersmith,circle and hammersmith
2017-18,9,Line Operations - District Line,Excess Journey Time - Trains,4.22,3.53,District,district
2017-18,9,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.68,1.26,Jubilee,jubilee
2017-18,9,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.74,2.18,Metropolitan,metropolitan
2017-18,9,Line Operations - Northern Line,Excess Journey Time - Trains,2.31,1.44,Northern,northern
2017-18,9,Line Operations - Piccadilly Line,Excess Journey Time - Trains,4.08,3.5,Piccadilly,piccadilly
2017-18,9,Line Operations - Victoria Line,Excess Journey Time - Trains,1.79,1.24,Victoria,victoria
