Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,Line_clean
2017-18,6,Jubilee,215541.0,220483.0,623949.0,642863.0,839490.0,863346.0,jubilee
2017-18,6,Metropolitan,167455.0,169769.0,434737.0,441609.0,602192.0,611378.0,metropolitan
2017-18,6,Northern,290927.0,297562.0,853619.0,879665.0,1144546.0,1177227.0,northern
2017-18,6,Piccadilly,231710.0,243974.0,698255.0,748849.0,929965.0,992823.0,piccadilly
2017-18,6,Victoria,168372.0,173418.0,428521.0,440235.0,596893.0,613653.0,victoria
2017-18,6,Waterloo & City,10575.0,10934.0,16608.0,16751.0,27183.0,27685.0,waterloo and city
2017-18,7,Bakerloo,70944.0,75746.0,209974.0,220950.0,280918.0,296696.0,bakerloo
2017-18,7,C&H,72938.0,76047.0,234935.0,243240.0,307873.0,319287.0,candh
2017-18,7,Central,262330.0,279264.0,760114.0,781762.0,1022444.0,1061026.0,central
2017-18,7,District,200559.0,209127.0,554198.0,568806.0,754758.0,777933.0,district
2017-18,7,Jubilee,219154.0,221893.0,625294.0,641552.0,844449.0,863445.0,jubilee
2017-18,7,Metropolitan,166322.0,171685.0,439710.0,448948.0,606032.0,620634.0,metropolitan
2017-18,7,Northern,294254.0,298653.0,825809.0,836901.0,1120063.0,1135554.0,northern
2017-18,7,Piccadilly,229427.0,243159.0,676106.0,740422.0,905533.0,983582.0,piccadilly
2017-18,7,Victoria,168093.0,175116.0,433429.0,439465.0,601522.0,614581.0,victoria
2017-18,7,Waterloo & City,10759.0,11230.0,17050.0,17059.0,27809.0,28289.0,waterloo and city
2017-18,8,Bakerloo,71525.0,75743.0,196431.0,202021.0,267956.0,277764.0,bakerloo
2017-18,8,C&H,72039.0,76065.0,246944.0,258618.0,318983.0,334683.0,candh
2017-18,8,Central,264938.0,277502.0,752248.0,785161.0,1017185.0,1062663.0,central
2017-18,8,District,196941.0,209214.0,579876.0,598060.0,776817.0,807273.0,district
2017-18,8,Jubilee,218848.0,221692.0,633136.0,642306.0,851984.0,863998.0,jubilee
2017-18,8,Metropolitan,164176.0,172532.0,448571.0,458623.0,612748.0,631155.0,metropolitan
2017-18,8,Northern,289432.0,298866.0,872326.0,890810.0,1161757.0,1189676.0,northern
2017-18,8,Piccadilly,221076.0,235814.0,687113.0,721037.0,908189.0,956851.0,piccadilly
2017-18,8,Victoria,169832.0,175116.0,433722.0,440498.0,603555.0,615613.0,victoria
2017-18,8,Waterloo & City,10858.0,11221.0,17472.0,17543.0,28330.0,28764.0,waterloo and city
2017-18,9,Bakerloo,71289.0,75742.0,194900.0,202022.0,266189.0,277764.0,bakerloo
2017-18,9,C&H,71330.0,76049.0,243303.0,256531.0,314633.0,332580.0,candh
2017-18,9,Central,254286.0,277502.0,735505.0,784754.0,989791.0,1062256.0,central
2017-18,9,District,198686.0,209237.0,582634.0,596867.0,781321.0,806104.0,district
2017-18,9,Jubilee,215738.0,221827.0,633485.0,641365.0,849223.0,863193.0,jubilee
2017-18,9,Metropolitan,166737.0,172158.0,447596.0,455873.0,614332.0,628031.0,metropolitan
2017-18,9,Northern,291508.0,298866.0,878154.0,890286.0,1169662.0,1189152.0,northern
2017-18,9,Piccadilly,218776.0,234569.0,670619.0,709770.0,889395.0,944338.0,piccadilly
2017-18,9,Victoria,167692.0,175116.0,432997.0,440250.0,600689.0,615366.0,victoria
2017-18,9,Waterloo & City,10880.0,11221.0,17387.0,17543.0,28267.0,28764.0,waterloo and city
2017-18,10,Bakerloo,65983.0,68025.0,203362.0,210254.0,269345.0,278279.0,bakerloo
2017-18,10,C&H,63558.0,66994.0,226309.0,240144.0,289867.0,307138.0,candh
2017-18,10,Central,232463.0,247027.0,692284.0,746615.0,924747.0,993642.0,central
2017-18,10,District,161337.0,168378.0,493076.0,503839.0,654413.0,672217.0,district
2017-18,10,Jubilee,194278.0,197260.0,597659.0,612710.0,791937.0,809970.0,jubilee
2017-18,10,Metropolitan,143360.0,149714.0,411051.0,431241.0,554411.0,580955.0,metropolitan
2017-18,10,Northern,251232.0,254552.0,766146.0,787560.0,1017378.0,1042112.0,northern
2017-18,10,Piccadilly,204476.0,214643.0,657582.0,702780.0,862059.0,917423.0,piccadilly
2017-18,10,Victoria,147343.0,151549.0,411751.0,417801.0,559094.0,569350.0,victoria
2017-18,10,Waterloo & City,8971.0,9159.0,15011.0,15081.0,23981.0,24240.0,waterloo and city
2017-18,11,Bakerloo,73250.0,75746.0,216100.0,220970.0,289350.0,296716.0,bakerloo
2017-18,11,C&H,71142.0,76038.0,235953.0,249107.0,307095.0,325145.0,candh
2017-18,11,Central,258095.0,279852.0,758372.0,782404.0,1016467.0,1062256.0,central
2017-18,11,District,197745.0,209183.0,577481.0,592377.0,775226.0,801560.0,district
2017-18,11,Jubilee,216769.0,221893.0,633856.0,642937.0,850625.0,864830.0,jubilee
2017-18,11,Metropolitan,166729.0,171611.0,443589.0,449454.0,610318.0,621065.0,metropolitan
2017-18,11,Northern,296292.0,300409.0,887618.0,890824.0,1183910.0,1191233.0,northern
2017-18,11,Piccadilly,231148.0,245593.0,705855.0,749187.0,937003.0,994780.0,piccadilly
2017-18,11,Victoria,170885.0,175116.0,435166.0,440244.0,606051.0,615360.0,victoria
2017-18,11,Waterloo & City,10444.0,11190.0,17413.0,17574.0,27858.0,28764.0,waterloo and city
2017-18,12,Bakerloo,71569.0,75746.0,214432.0,220970.0,286000.0,296716.0,bakerloo
2017-18,12,C&H,71418.0,76014.0,222604.0,235381.0,294022.0,311395.0,candh
2017-18,12,Central,258789.0,279852.0,748034.0,782404.0,1006823.0,1062256.0,central
2017-18,12,District,195729.0,209087.0,547465.0,567530.0,743193.0,776617.0,district
2017-18,12,Jubilee,212520.0,221883.0,629737.0,642965.0,842258.0,864848.0,jubilee
2017-18,12,Metropolitan,164582.0,171671.0,445267.0,457602.0,609848.0,629273.0,metropolitan
2017-18,12,Northern,297620.0,305038.0,883041.0,892438.0,1180660.0,1197476.0,northern
2017-18,12,Piccadilly,223495.0,249202.0,685015.0,750233.0,908511.0,999435.0,piccadilly
2017-18,12,Victoria,166802.0,175116.0,428167.0,440244.0,594969.0,615360.0,victoria
2017-18,12,Waterloo & City,10580.0,11190.0,17383.0,17574.0,27963.0,28764.0,waterloo and city
2017-18,13,Bakerloo,72769.0,75457.0,211983.0,217564.0,284752.0,293021.0,bakerloo
2017-18,13,C&H,72493.0,76026.0,221803.0,232569.0,294296.0,308595.0,candh
2017-18,13,Central,260919.0,278361.0,746072.0,781930.0,1006991.0,1060291.0,central
2017-18,13,District,197720.0,207792.0,575903.0,594065.0,773623.0,801857.0,district
2017-18,13,Jubilee,209353.0,220485.0,630080.0,642584.0,839433.0,863069.0,jubilee
2017-18,13,Metropolitan,164578.0,169669.0,424640.0,432464.0,589219.0,602133.0,metropolitan
2017-18,13,Northern,291460.0,294516.0,840931.0,846008.0,1132391.0,1140524.0,northern
2017-18,13,Piccadilly,231920.0,247609.0,702602.0,746873.0,934522.0,994482.0,piccadilly
2017-18,13,Victoria,166910.0,173409.0,431989.0,439995.0,598899.0,613405.0,victoria
2017-18,13,Waterloo & City,10626.0,10891.0,17303.0,17402.0,27929.0,28293.0,waterloo and city
2018-19,1,Bakerloo,73399.0,75467.0,214471.0,220921.0,287870.0,296388.0,bakerloo
2018-19,1,C&H,70914.0,76028.0,250326.0,264639.0,321240.0,340667.0,candh
2018-19,1,Central,268116.0,278345.0,757585.0,782283.0,1025701.0,1060628.0,central
