station,degree_centrality,betweenness_centrality,closeness_centrality
chigwell,0.007380073800738007,0.01148011480114801,0.05417832866853259
willesden green,0.014760147601476014,0.011024554689991344,0.09709781440343963
barkingside,0.007380073800738007,0.01093344266776001,0.05396256471525289
caledonian road,0.007380073800738007,0.010468771354380211,0.09609929078014184
chancery lane,0.007380073800738007,0.010145779235570137,0.09930377427629168
tower hill,0.01107011070110701,0.010082456380119297,0.08418763591177385
st. pauls,0.007380073800738007,0.009487039314837601,0.09730700179533214
aldgate,0.007380073800738007,0.007684387954990662,0.09143049932523617
nine elms,0.007380073800738007,0.007380073800738007,0.09051436205744823
croxley,0.007380073800738007,0.007380073800738007,0.05621240406554657
theydon bois,0.007380073800738007,0.007380073800738007,0.04886404615939416
ruislip gardens,0.007380073800738007,0.007380073800738007,0.05071107784431138
oakwood,0.007380073800738007,0.007380073800738007,0.055623973727422005
goldhawk road,0.007380073800738007,0.007380073800738007,0.05924792304328815
kenton,0.007380073800738007,0.007380073800738007,0.047552202140726446
canons park,0.007380073800738007,0.007380073800738007,0.07620922384701913
burnt oak,0.007380073800738007,0.007380073800738007,0.054969574036511155
kew gardens,0.007380073800738007,0.007380073800738007,0.06838253848094877
wimbledon park,0.007380073800738007,0.007380073800738007,0.05704062302673121
blackhorse road,0.007380073800738007,0.007380073800738007,0.07064650677789364
south wimbledon,0.007380073800738007,0.007380073800738007,0.05372720063441713
heathrow terminals 2 and 3,0.01107011070110701,0.007380073800738007,0.045815722738799664
totteridge and whetstone,0.007380073800738007,0.007380073800738007,0.05241779497098646
upminster bridge,0.007380073800738007,0.007380073800738007,0.04269733732472034
hillingdon,0.007380073800738007,0.007380073800738007,0.05465913674868899
russell square,0.007380073800738007,0.007168693909161315,0.0995225853837679
charing cross,0.01107011070110701,0.006764384310509773,0.10383141762452107
north greenwich,0.007380073800738007,0.006545943237210148,0.07457347275729224
mansion house,0.007380073800738007,0.006368730353970185,0.08182367149758454
bow road,0.007380073800738007,0.006314063140631407,0.08133253301320528
leicester square,0.014760147601476014,0.005703200418247577,0.10168855534709194
marylebone,0.007380073800738007,0.005193385267186005,0.10540645663166083
whitechapel,0.007380073800738007,0.005141451414514139,0.08603174603174603
canning town,0.007380073800738007,0.004493189376338208,0.07201700770661706
grange hill,0.007380073800738007,0.004428044280442804,0.05152091254752852
monument,0.007380073800738007,0.004267231561204499,0.07794075352315215
fairlop,0.007380073800738007,0.004154708213748804,0.05142314990512334
lambeth north,0.007380073800738007,0.003973623069564026,0.09829524845846935
holloway road,0.007380073800738007,0.0036900369003690036,0.08850424559111691
elephant and castle,0.01107011070110701,0.0035647578698009192,0.09093959731543624
west hampstead,0.007380073800738007,0.003179809575873537,0.09582743988684583
cannon street,0.007380073800738007,0.003146553687759112,0.07891671520093185
st. johns wood,0.007380073800738007,0.003143364766981003,0.10276829730754646
stepney green,0.007380073800738007,0.003023096897635645,0.08118633912522469
ravenscourt park,0.007380073800738007,0.0028973623069564027,0.0765320530923468
edgware road (bakerloo),0.007380073800738007,0.0018313516468498017,0.1005939123979213
borough,0.007380073800738007,0.0017949068379572663,0.08853315909833388
covent garden,0.007380073800738007,0.0010307047514919595,0.09664764621968616
hainault,0.007380073800738007,0.0008336750034167008,0.049111997100398694
stamford brook,0.007380073800738007,0.0007653409867432007,0.07330267784690289
goodge street,0.007380073800738007,0.0005986059860598607,0.0989051094890511
arsenal,0.007380073800738007,0.0005466721333880005,0.08202179176755447
swiss cottage,0.007380073800738007,0.0005330053300533005,0.09582743988684583
neasden,0.007380073800738007,0.00047378251560293373,0.08955717118307997
bromley-by-bow,0.007380073800738007,0.00046467131337980046,0.07642413987591652
kilburn,0.007380073800738007,2.7333606669400026e-05,0.08859104282445243
dollis hill,0.007380073800738007,2.7333606669400026e-05,0.08859104282445243
mornington crescent,0.007380073800738007,0.0,0.0946890286512928
mill hill east,0.0036900369003690036,0.0,0.05838000861697544
chesham,0.0036900369003690036,0.0,0.04826357969723954
amersham,0.0036900369003690036,0.0,0.04826357969723954
morden,0.0036900369003690036,0.0,0.05099736544975536
west ruislip,0.0036900369003690036,0.0,0.04827217670110438
wimbledon,0.0036900369003690036,0.0,0.053973312089225255
upminster,0.0036900369003690036,0.0,0.040955115611304216
walthamstow central,0.0036900369003690036,0.0,0.06600097418412079
watford,0.0036900369003690036,0.0,0.053231192300137495
edgware,0.0036900369003690036,0.0,0.05211538461538461
